Year,Area,Level,BirthRate
2012,South Dublin,County,18.4
2012,South-East,Region,14.8
2012,South-West,Region,15.1
2012,State,National,15.6
2012,Tipperary,County,13.95
2012,Ulster (part of),Province,13.8
2012,Waterford City,County,17.2
2012,Waterford County,County,12.9
2012,West,Region,14.7
2012,Westmeath,County,16.7
2012,Wexford,County,15.2
2012,Wicklow,County,16.3
2013,Border,Region,14.1
2013,Carlow,County,15.8
2013,Cavan,County,15.5
2013,Clare,County,12.8
2013,Connacht,Province,14.3
2013,Cork City,County,12.6
2013,Cork County,County,15.5
2013,Donegal,County,12.3
2013,Dublin,Region,16.2
2013,Dublin City,County,15.2
2013,Dun Laoghaire-Rathdown,County,13.6
2013,Fingal,County,19.3
2013,Galway City,County,16.4
2013,Galway County,County,14.8
2013,Kerry,County,12.2
2013,Kildare,County,16.1
2013,Kilkenny,County,13.8
2013,Laois,County,14.8
2013,Leinster,Province,15.8
2013,Leitrim,County,14.4
2013,Limerick City,County,15.0
2013,Limerick County,County,14.3
2013,Longford,County,15.3
2013,Louth,County,15.9
2013,Mayo,County,13.1
2013,Meath,County,16.9
2013,Mid-East,Region,16.1
2013,Mid-West,Region,14.0
2013,Midland,Region,14.7
2013,Monaghan,County,14.2
2013,Munster,Province,14.2
2013,Offaly,County,13.7
2013,Roscommon,County,13.2
2013,Sligo,County,13.8
2013,South Dublin,County,17.0
2013,South-East,Region,14.3
2013,South-West,Region,14.3
2013,State,National,15.0
2013,Tipperary,County,14.15
2013,Ulster (part of),Province,13.5
2013,Waterford City,County,17.0
2013,Waterford County,County,13.6
2013,West,Region,14.3
2013,Westmeath,County,15.2
2013,Wexford,County,13.9
2013,Wicklow,County,14.9
2014,Border,Region,13.4
2014,Carlow,County,16.8
2014,Cavan,County,14.7
2014,Clare,County,12.5
2014,Connacht,Province,13.7
2014,Cork City,County,12.9
2014,Cork County,County,14.7
2014,Donegal,County,11.7
2014,Dublin,Region,15.9
2014,Dublin City,County,15.0
2014,Dun Laoghaire-Rathdown,County,13.6
2014,Fingal,County,18.4
2014,Galway City,County,15.8
2014,Galway County,County,14.4
2014,Kerry,County,11.8
2014,Kildare,County,15.9
2014,Kilkenny,County,13.6
2014,Laois,County,14.3
2014,Leinster,Province,15.5
2014,Leitrim,County,12.7
2014,Limerick City,County,15.6
2014,Limerick County,County,13.8
2014,Longford,County,14.1
2014,Louth,County,15.1
2014,Mayo,County,12.8
2014,Meath,County,15.7
2014,Mid-East,Region,15.5
2014,Mid-West,Region,13.6
2014,Midland,Region,14.6
2014,Monaghan,County,13.7
2014,Munster,Province,13.7
2014,Offaly,County,14.5
2014,Roscommon,County,12.6
2014,Sligo,County,12.9
2014,South Dublin,County,16.9
2014,South-East,Region,14.1
