Year,Area,Level,BirthRate,NationalRate,DeviationFromNational
2019,Cork County,County,12.1,12.0,0.09999999999999964
2019,Donegal,County,11.0,12.0,-1.0
2019,Dublin,Region,12.5,12.0,0.5
2019,Dublin City,County,12.1,12.0,0.09999999999999964
2019,Dun Laoghaire-Rathdown,County,10.8,12.0,-1.1999999999999993
2019,Fingal,County,13.7,12.0,1.6999999999999993
2019,Galway City,County,11.4,12.0,-0.5999999999999996
2019,Galway County,County,12.6,12.0,0.5999999999999996
2019,Kerry,County,10.3,12.0,-1.6999999999999993
2019,Kildare,County,12.9,12.0,0.9000000000000004
2019,Kilkenny,County,10.7,12.0,-1.3000000000000007
2019,Laois,County,12.5,12.0,0.5
2019,Leinster,Province,12.4,12.0,0.40000000000000036
2019,Leitrim,County,12.9,12.0,0.9000000000000004
2019,Limerick City,County,13.7,12.0,1.6999999999999993
2019,Limerick County,County,11.3,12.0,-0.6999999999999993
2019,Longford,County,13.7,12.0,1.6999999999999993
2019,Louth,County,12.4,12.0,0.40000000000000036
2019,Mayo,County,11.1,12.0,-0.9000000000000004
2019,Meath,County,13.2,12.0,1.1999999999999993
2019,Mid-East,Region,12.6,12.0,0.5999999999999996
2019,Mid-West,Region,11.5,12.0,-0.5
2019,Midland,Region,12.3,12.0,0.3000000000000007
2019,Monaghan,County,11.7,12.0,-0.3000000000000007
2019,Munster,Province,11.4,12.0,-0.5999999999999996
2019,Offaly,County,11.4,12.0,-0.5999999999999996
2019,Roscommon,County,12.3,12.0,0.3000000000000007
2019,Sligo,County,11.2,12.0,-0.8000000000000007
2019,South Dublin,County,13.6,12.0,1.5999999999999996
2019,South-East,Region,11.5,12.0,-0.5
2019,South-West,Region,11.4,12.0,-0.5999999999999996
2019,State,National,12.0,12.0,0.0
2019,Tipperary,County,11.2,12.0,-0.8000000000000007
2019,Ulster (part of),Province,11.5,12.0,-0.5
2019,Waterford City,County,12.9,12.0,0.9000000000000004
2019,Waterford County,County,10.1,12.0,-1.9000000000000004
2019,West,Region,11.9,12.0,-0.09999999999999964
2019,Westmeath,County,12.4,12.0,0.40000000000000036
2019,Wexford,County,11.6,12.0,-0.40000000000000036
2019,Wicklow,County,11.7,12.0,-0.3000000000000007
2020,Border,Region,11.3,11.4,-0.09999999999999964
2020,Carlow,County,12.6,11.4,1.1999999999999993
2020,Cavan,County,12.9,11.4,1.5
2020,Clare,County,10.6,11.4,-0.8000000000000007
2020,Connacht,Province,10.8,11.4,-0.5999999999999996
2020,Cork City,County,9.9,11.4,-1.5
2020,Cork County,County,11.8,11.4,0.40000000000000036
2020,Donegal,County,10.4,11.4,-1.0
2020,Dublin,Region,11.7,11.4,0.29999999999999893
2020,Dublin City,County,11.3,11.4,-0.09999999999999964
2020,Dun Laoghaire-Rathdown,County,10.1,11.4,-1.3000000000000007
2020,Fingal,County,12.9,11.4,1.5
2020,Galway City,County,10.4,11.4,-1.0
2020,Galway County,County,11.4,11.4,0.0
2020,Kerry,County,9.8,11.4,-1.5999999999999996
2020,Kildare,County,12.7,11.4,1.299999999999999
2020,Kilkenny,County,9.8,11.4,-1.5999999999999996
2020,Laois,County,10.7,11.4,-0.7000000000000011
2020,Leinster,Province,11.7,11.4,0.29999999999999893
2020,Leitrim,County,11.5,11.4,0.09999999999999964
2020,Limerick City,County,12.1,11.4,0.6999999999999993
2020,Limerick County,County,11.8,11.4,0.40000000000000036
2020,Longford,County,12.5,11.4,1.0999999999999996
2020,Louth,County,11.7,11.4,0.29999999999999893
2020,Mayo,County,10.1,11.4,-1.3000000000000007
2020,Meath,County,11.9,11.4,0.5
2020,Mid-East,Region,11.9,11.4,0.5
2020,Mid-West,Region,11.2,11.4,-0.20000000000000107
2020,Midland,Region,11.7,11.4,0.29999999999999893
2020,Monaghan,County,12.0,11.4,0.5999999999999996
2020,Munster,Province,11.1,11.4,-0.3000000000000007
2020,Offaly,County,11.1,11.4,-0.3000000000000007
2020,Roscommon,County,10.6,11.4,-0.8000000000000007
2020,Sligo,County,11.1,11.4,-0.3000000000000007
2020,South Dublin,County,12.6,11.4,1.1999999999999993
2020,South-East,Region,11.0,11.4,-0.40000000000000036
2020,South-West,Region,11.0,11.4,-0.40000000000000036
2020,State,National,11.4,11.4,0.0
2020,Tipperary,County,10.8,11.4,-0.5999999999999996
2020,Ulster (part of),Province,11.4,11.4,0.0
2020,Waterford City,County,12.5,11.4,1.0999999999999996
2020,Waterford County,County,10.3,11.4,-1.0999999999999996
2020,West,Region,10.7,11.4,-0.7000000000000011
2020,Westmeath,County,12.8,11.4,1.4000000000000004
2020,Wexford,County,10.9,11.4,-0.5
2020,Wicklow,County,10.9,11.4,-0.5
2021,Border,Region,11.5,11.9,-0.40000000000000036
2021,Carlow,County,12.6,11.9,0.6999999999999993
2021,Cavan,County,12.2,11.9,0.29999999999999893
2021,Clare,County,11.0,11.9,-0.9000000000000004
2021,Connacht,Province,11.6,11.9,-0.3000000000000007
2021,Cork City,County,10.3,11.9,-1.5999999999999996
2021,Cork County,County,12.2,11.9,0.29999999999999893
2021,Donegal,County,10.4,11.9,-1.5
2021,Dublin,Region,12.2,11.9,0.29999999999999893
2021,Dublin City,County,11.8,11.9,-0.09999999999999964
2021,Dun Laoghaire-Rathdown,County,9.0,11.9,-2.9000000000000004
2021,Fingal,County,13.4,11.9,1.5
2021,Galway City,County,10.7,11.9,-1.200000000000001
2021,Galway County,County,12.6,11.9,0.6999999999999993
2021,Kerry,County,11.0,11.9,-0.9000000000000004
2021,Kildare,County,12.7,11.9,0.7999999999999989
2021,Kilkenny,County,10.6,11.9,-1.3000000000000007
2021,Laois,County,11.8,11.9,-0.09999999999999964
2021,Leinster,Province,12.2,11.9,0.29999999999999893
2021,Leitrim,County,12.1,11.9,0.1999999999999993
2021,Limerick City,County,12.5,11.9,0.5999999999999996
2021,Limerick County,County,11.4,11.9,-0.5
2021,Longford,County,12.6,11.9,0.6999999999999993
2021,Louth,County,12.1,11.9,0.1999999999999993
2021,Mayo,County,11.0,11.9,-0.9000000000000004
2021,Meath,County,13.2,11.9,1.299999999999999
2021,Mid-East,Region,12.5,11.9,0.5999999999999996
2021,Mid-West,Region,11.6,11.9,-0.3000000000000007
2021,Midland,Region,12.2,11.9,0.29999999999999893
2021,Monaghan,County,13.1,11.9,1.1999999999999993
2021,Munster,Province,11.6,11.9,-0.3000000000000007
2021,Offaly,County,11.6,11.9,-0.3000000000000007
2021,Roscommon,County,11.3,11.9,-0.5999999999999996
2021,Sligo,County,11.4,11.9,-0.5
2021,South Dublin,County,15.4,11.9,3.5
2021,South-East,Region,11.3,11.9,-0.5999999999999996
2021,South-West,Region,11.6,11.9,-0.3000000000000007
2021,State,National,11.9,11.9,0.0
2021,Tipperary,County,12.1,11.9,0.1999999999999993
2021,Ulster (part of),Province,11.4,11.9,-0.5
2021,Waterford City,County,12.8,11.9,0.9000000000000004
2021,Waterford County,County,10.2,11.9,-1.700000000000001
2021,West,Region,11.6,11.9,-0.3000000000000007
2021,Westmeath,County,13.0,11.9,1.0999999999999996
2021,Wexford,County,11.4,11.9,-0.5
2021,Wicklow,County,11.7,11.9,-0.20000000000000107
2022,Border,Region,10.4,10.5,-0.09999999999999964
2022,Carlow,County,11.6,10.5,1.0999999999999996
2022,Cavan,County,12.1,10.5,1.5999999999999996
2022,Clare,County,9.6,10.5,-0.9000000000000004
2022,Connacht,Province,10.2,10.5,-0.3000000000000007
2022,Cork City,County,8.7,10.5,-1.8000000000000007
2022,Cork County,County,10.5,10.5,0.0
2022,Donegal,County,9.8,10.5,-0.6999999999999993
2022,Dublin,Region,10.7,10.5,0.1999999999999993
2022,Dublin City,County,10.8,10.5,0.3000000000000007
2022,Dun Laoghaire-Rathdown,County,8.7,10.5,-1.8000000000000007
2022,Fingal,County,11.0,10.5,0.5
2022,Galway City,County,8.4,10.5,-2.0999999999999996
2022,Galway County,County,11.5,10.5,1.0
2022,Kerry,County,9.2,10.5,-1.3000000000000007
2022,Kildare,County,11.2,10.5,0.6999999999999993
2022,Kilkenny,County,9.7,10.5,-0.8000000000000007
2022,Laois,County,10.1,10.5,-0.40000000000000036
2022,Leinster,Province,10.7,10.5,0.1999999999999993
2022,Leitrim,County,11.0,10.5,0.5
2022,Limerick City,County,11.9,10.5,1.4000000000000004
2022,Limerick County,County,10.4,10.5,-0.09999999999999964
2022,Longford,County,11.0,10.5,0.5
2022,Louth,County,11.0,10.5,0.5
2022,Mayo,County,10.0,10.5,-0.5
2022,Meath,County,11.5,10.5,1.0
2022,Mid-East,Region,11.1,10.5,0.5999999999999996
2022,Mid-West,Region,10.3,10.5,-0.1999999999999993
2022,Midland,Region,10.5,10.5,0.0
2022,Monaghan,County,10.5,10.5,0.0
2022,Munster,Province,10.1,10.5,-0.40000000000000036
2022,Offaly,County,9.9,10.5,-0.5999999999999996
2022,Roscommon,County,9.8,10.5,-0.6999999999999993
2022,Sligo,County,9.5,10.5,-1.0
2022,South Dublin,County,11.7,10.5,1.1999999999999993
2022,South-East,Region,10.5,10.5,0.0
2022,South-West,Region,9.9,10.5,-0.5999999999999996
2022,State,National,10.5,10.5,0.0
2022,Tipperary,County,10.1,10.5,-0.40000000000000036
2022,Ulster (part of),Province,10.5,10.5,0.0
2022,Waterford City,County,12.4,10.5,1.9000000000000004
2022,Waterford County,County,9.5,10.5,-1.0
2022,West,Region,10.3,10.5,-0.1999999999999993
2022,Westmeath,County,11.3,10.5,0.8000000000000007
2022,Wexford,County,10.5,10.5,0.0
2022,Wicklow,County,10.2,10.5,-0.3000000000000007
2023,Border,Region,10.4,10.3,0.09999999999999964
2023,Carlow,County,10.4,10.3,0.09999999999999964
2023,Cavan,County,11.8,10.3,1.5
2023,Clare,County,9.4,10.3,-0.9000000000000004
2023,Connacht,Province,9.9,10.3,-0.40000000000000036
2023,Cork City,County,9.1,10.3,-1.200000000000001
2023,Cork County,County,10.0,10.3,-0.3000000000000007
2023,Donegal,County,10.0,10.3,-0.3000000000000007
2023,Dublin,Region,10.4,10.3,0.09999999999999964
2023,Dublin City,County,10.3,10.3,0.0
2023,Dun Laoghaire-Rathdown,County,9.0,10.3,-1.3000000000000007
2023,Fingal,County,10.8,10.3,0.5
2023,Galway City,County,8.7,10.3,-1.6000000000000014
2023,Galway County,County,11.0,10.3,0.6999999999999993
2023,Kerry,County,8.8,10.3,-1.5
2023,Kildare,County,11.9,10.3,1.5999999999999996
2023,Kilkenny,County,9.4,10.3,-0.9000000000000004
2023,Laois,County,10.2,10.3,-0.10000000000000142
2023,Leinster,Province,10.6,10.3,0.29999999999999893
2023,Leitrim,County,9.3,10.3,-1.0
2023,Limerick City,County,12.1,10.3,1.799999999999999
2023,Limerick County,County,10.0,10.3,-0.3000000000000007
2023,Longford,County,11.2,10.3,0.8999999999999986
2023,Louth,County,10.9,10.3,0.5999999999999996
2023,Mayo,County,9.5,10.3,-0.8000000000000007
2023,Meath,County,11.8,10.3,1.5
2023,Mid-East,Region,11.2,10.3,0.8999999999999986
2023,Mid-West,Region,10.1,10.3,-0.20000000000000107
2023,Midland,Region,10.5,10.3,0.1999999999999993
2023,Monaghan,County,11.0,10.3,0.6999999999999993
2023,Munster,Province,9.8,10.3,-0.5
2023,Offaly,County,10.0,10.3,-0.3000000000000007
2023,Roscommon,County,9.6,10.3,-0.7000000000000011
2023,Sligo,County,9.9,10.3,-0.40000000000000036
2023,South Dublin,County,11.2,10.3,0.8999999999999986
2023,South-East,Region,10.1,10.3,-0.20000000000000107
2023,South-West,Region,9.6,10.3,-0.7000000000000011
2023,State,National,10.3,10.3,0.0
2023,Tipperary,County,9.9,10.3,-0.40000000000000036
2023,Ulster (part of),Province,10.7,10.3,0.3999999999999986
2023,Waterford City,County,12.1,10.3,1.799999999999999
2023,Waterford County,County,8.6,10.3,-1.700000000000001
2023,West,Region,10.0,10.3,-0.3000000000000007
2023,Westmeath,County,11.1,10.3,0.7999999999999989
2023,Wexford,County,10.6,10.3,0.29999999999999893
2023,Wicklow,County,9.8,10.3,-0.5
