Year,Area,Level,BirthRate,NationalRate,DeviationFromNational
2010,Mid-East,Region,19.2,16.5,2.6999999999999993
2010,Mid-West,Region,16.0,16.5,-0.5
2010,Midland,Region,17.3,16.5,0.8000000000000007
2010,Monaghan,County,14.6,16.5,-1.9000000000000004
2010,Munster,Province,15.7,16.5,-0.8000000000000007
2010,Offaly,County,16.3,16.5,-0.1999999999999993
2010,Roscommon,County,14.1,16.5,-2.4000000000000004
2010,Sligo,County,14.5,16.5,-2.0
2010,South Dublin,County,18.1,16.5,1.6000000000000014
2010,South-East,Region,15.7,16.5,-0.8000000000000007
2010,South-West,Region,15.8,16.5,-0.6999999999999993
2010,State,National,16.5,16.5,0.0
2010,Tipperary,County,15.55,16.5,-0.9499999999999993
2010,Ulster (part of),Province,14.8,16.5,-1.6999999999999993
2010,Waterford City,County,18.8,16.5,2.3000000000000007
2010,Waterford County,County,14.8,16.5,-1.6999999999999993
2010,West,Region,15.5,16.5,-1.0
2010,Westmeath,County,17.8,16.5,1.3000000000000007
2010,Wexford,County,15.7,16.5,-0.8000000000000007
2010,Wicklow,County,18.8,16.5,2.3000000000000007
2011,Border,Region,14.7,16.2,-1.5
2011,Carlow,County,18.1,16.2,1.9000000000000021
2011,Cavan,County,17.3,16.2,1.1000000000000014
2011,Clare,County,14.8,16.2,-1.3999999999999986
2011,Connacht,Province,14.9,16.2,-1.299999999999999
2011,Cork City,County,13.5,16.2,-2.6999999999999993
2011,Cork County,County,16.7,16.2,0.5
2011,Donegal,County,13.5,16.2,-2.6999999999999993
2011,Dublin,Region,17.1,16.2,0.9000000000000021
2011,Dublin City,County,15.7,16.2,-0.5
2011,Dun Laoghaire-Rathdown,County,13.8,16.2,-2.3999999999999986
2011,Fingal,County,20.2,16.2,4.0
2011,Galway City,County,15.6,16.2,-0.5999999999999996
2011,Galway County,County,16.3,16.2,0.10000000000000142
2011,Kerry,County,14.0,16.2,-2.1999999999999993
2011,Kildare,County,18.3,16.2,2.1000000000000014
2011,Kilkenny,County,14.9,16.2,-1.299999999999999
2011,Laois,County,16.6,16.2,0.40000000000000213
2011,Leinster,Province,17.0,16.2,0.8000000000000007
2011,Leitrim,County,14.4,16.2,-1.799999999999999
2011,Limerick City,County,13.6,16.2,-2.5999999999999996
